character,actual,predicted
3H6_WATCHMEN.1,m,m
3H6_WATCHMEN.2,m,m
3H6_WATCHMEN.3,m,m
3H6_Warwick,m,m
3H6_Westmorland,m,m
3H6_York,m,f
AWW_ATTENDANTS.KING.0.1,m,f
AWW_ATTENDANTS.KING.0.2,m,m
AWW_Bertram,m,f
AWW_Countess,f,f
AWW_Diana,f,f
AWW_Duke,m,m
AWW_Epilogue,m,m
AWW_Fool,m,f
AWW_GENTLEMEN.1,m,f
AWW_GENTLEMEN.2,m,m
AWW_GENTLEMEN.3,m,m
AWW_Helen,f,f
AWW_King,m,f
AWW_LORDS.COURT.1,m,m
AWW_LORDS.COURT.2,m,m
AWW_LORDS.COURT.3,m,m
AWW_LORDS.COURT.4,m,m
AWW_LORDS.DUMAINE.1,m,f
AWW_LORDS.DUMAINE.2,m,m
AWW_Lafew,m,f
AWW_Mariana,f,m
AWW_Page,m,m
AWW_Parolles,m,f
AWW_SOLDIERS,m,f
AWW_SOLDIERS.0.1,m,f
AWW_SOLDIERS.Interpreter,m,f
AWW_Servant,m,m
AWW_Steward,m,f
AWW_Widow,f,m
AYL_Adam,m,f
AYL_Audrey,f,f
AYL_Celia,f,f
AYL_Charles,m,m
AYL_Corin,m,f
AYL_Dennis,m,m
AYL_DukeFrederick,m,f
AYL_DukeSenior,m,m
AYL_Hymen,m,m
AYL_Jaques,m,f
AYL_LORDS.FREDERICK.0.1,m,m
AYL_LORDS.FREDERICK.0.2,m,m
AYL_LORDS.FREDERICK.LeBeau,m,m
AYL_LORDS.SENIOR,m,m
AYL_LORDS.SENIOR.0.1,m,m
AYL_LORDS.SENIOR.0.2,m,m
AYL_LORDS.SENIOR.Amiens,m,f
AYL_Oliver,m,f
AYL_OliverMartext,m,f
AYL_Orlando,m,f
AYL_Phoebe,f,f
AYL_Rosalind,f,f
AYL_SERVANTS.1,m,m
AYL_SERVANTS.2,m,m
AYL_SecondBrother,m,m
AYL_Silvius,m,f
AYL_Touchstone,m,m
AYL_William,m,m
Ado_ATTENDANTS.0.1,m,m
Ado_Antonio,m,f
Ado_Balthasar,m,m
Ado_Beatrice,f,f
Ado_Benedick,m,f
Ado_Borachio,m,m
Ado_Boy,m,m
Ado_Claudio,m,f
Ado_Conrade,m,f
Ado_Dogberry,m,m
Ado_DonJohn,m,f
Ado_DonPedro,m,f
Ado_FriarFrancis,m,m
Ado_Hero,f,f
Ado_Leonato,m,f
Ado_LeonatosBrother,m,m
Ado_MESSENGERS.DONPEDRO.1,m,m
Ado_MESSENGERS.LEONATO.1,m,m
Ado_MUSICIANS,m,f
Ado_Margaret,f,f
Ado_Sexton,m,m
Ado_Ursula,f,f
Ado_Verges,m,m
Ado_WATCHMEN.1,m,m
Ado_WATCHMEN.2,m,m
Ado_WATCHMEN.Seacoal,m,m
Ant_ATTENDANTS.ANTONY,m,f
Ant_ATTENDANTS.CAESAR,m,m
Ant_Agrippa,m,m
Ant_Alexas,m,f
Ant_Ambassador,m,m
Ant_Antony,m,f
Ant_Boy,m,f
Ant_CAPTAINS,m,m
Ant_CAPTAINS.0.1,m,m
Ant_Canidius,m,f
Ant_Charmian,f,m
Ant_Cleopatra,f,f
Ant_Countryman,m,f
Ant_Demetrius,m,f
Ant_Diomedes,m,m
Ant_Dolabella,m,f
Ant_Egyptian,m,m
Ant_Enobarbus,m,m
Ant_Eros,m,m
Ant_GUARDS,m,f
Ant_GUARDS.0.1,m,f
Ant_GUARDS.0.2,m,f
Ant_GUARDS.0.3,m,m
Ant_GUARDS.CAESAR.0.1,m,m
Ant_GUARDS.CAESAR.0.2,m,m
Ant_GUARDS.CAESAR.1,m,m
Ant_GUARDS.Dercetus,m,f
Ant_Gallus,m,m
Ant_Iras,f,m
Ant_LADIES,m,f
Ant_Lepidus,m,m
Ant_MESSENGERS.ANTONY.1,m,m
Ant_MESSENGERS.ANTONY.2,m,m
Ant_MESSENGERS.ANTONY.3,m,f
Ant_MESSENGERS.CAESAR.1,m,f
Ant_MESSENGERS.CAESAR.2,m,m
Ant_MESSENGERS.X.1,m,f
Ant_MESSENGERS.X.2,m,f
Ant_MESSENGERS.X.3,m,m
Ant_MESSENGERS.X.4,m,m
Ant_MESSENGERS.X.5,m,f
Ant_Maecenas,m,m
Ant_Mardian,m,f
Ant_Menas,m,m
Ant_Octavia,f,f
Ant_Octavius,m,f
Ant_Philo,m,m
Ant_Pompey,m,f
Ant_Proculeius,m,f
Ant_SERVANTS,m,m
Ant_SERVANTS.0.1,m,m
Ant_SERVANTS.0.2,m,f
Ant_SERVANTS.X.1,m,m
Ant_SERVANTS.X.2,m,m
Ant_SOLDIERS.ANTONY,m,f
Ant_SOLDIERS.ANTONY.0.1,m,m
Ant_SOLDIERS.ANTONY.0.2,m,m
Ant_SOLDIERS.ANTONY.0.3,m,f
Ant_SOLDIERS.ANTONY.0.4,m,f
Ant_SOLDIERS.ANTONY.X.1,m,f
Ant_SOLDIERS.ANTONY.X.2,m,m
Ant_SOLDIERS.ANTONY.X.3,m,m
Ant_SOLDIERS.CAESAR.X.1,m,f
Ant_Scarus,m,m
Ant_Seleucus,m,f
Ant_Silius,m,f
Ant_Soothsayer,m,m
Ant_Taurus,m,f
Ant_Thidias,m,m
Ant_Varrius,m,m
Ant_Ventidius,m,m
Ant_WATCHMEN.1,m,f
Ant_WATCHMEN.2,m,m
Ant_WATCHMEN.Sentry,m,m
Cor_AEDILES,m,f
Cor_AEDILES.X.2,m,m
Cor_AEDILES.X.3,m,m
Cor_Adrian,m,f
Cor_Aufidius,m,f
Cor_CITIZENS.ANTIUM.1,m,f
Cor_CITIZENS.ROMAN,m,f
Cor_CITIZENS.ROMAN.0.1,m,f
Cor_CITIZENS.ROMAN.0.2,m,m
Cor_CITIZENS.ROMAN.0.3,m,f
Cor_CITIZENS.ROMAN.1,m,f
Cor_CITIZENS.ROMAN.2,m,m
Cor_CITIZENS.ROMAN.3,m,f
Cor_CITIZENS.ROMAN.4,m,m
Cor_CITIZENS.ROMAN.5,m,f
Cor_CITIZENS.ROMAN.6,m,m
