character,actual,predicted
JC_Cassius,other,protag
JC_Cinna,other,other
JC_CinnaPoet,other,fool
JC_Decius,other,other
JC_Flavius,other,protag
JC_Ligarius,other,protag
JC_Lucius,other,protag
JC_Marullus,other,antag
JC_Metellus,other,other
JC_Octavius,other,antag
JC_PLEBEIANS.0.1,other,other
JC_PLEBEIANS.0.2,other,other
JC_PLEBEIANS.0.3,other,other
JC_PLEBEIANS.0.4,other,other
JC_Pindarus,other,fool
JC_Portia,other,antag
JC_SERVANTS.ANTONY.1,other,other
JC_SOLDIERS.BRUTUS.Lucilius,other,protag
JC_SOLDIERS.BRUTUS.Messala,other,protag
JC_SOLDIERS.BRUTUS.Titinius,other,other
JC_Soothsayer,other,fool
Jn_Arthur,other,fool
Jn_Austria,other,antag
Jn_Bastard,other,other
Jn_Blanche,other,protag
Jn_CITIZENS.0.1,other,antag
Jn_Chatillion,other,other
Jn_Constance,other,protag
Jn_Dauphin,other,other
Jn_HERALDS.ENGLISH,other,antag
Jn_Hubert,other,protag
Jn_KingJohn,protag,protag
Jn_KingPhilip,antag,other
Jn_LadyFaulconbridge,other,protag
Jn_MESSENGERS.ENGLISH.1,other,protag
Jn_Melun,other,antag
Jn_Pandulph,other,antag
Jn_Pembroke,other,other
Jn_PrinceHenry,other,other
Jn_QueenEleanor,other,protag
Jn_RobertFaulconbridge,other,protag
Jn_Salisbury,other,other
LLL_Armado,other,antag
LLL_Berowne,other,other
LLL_Boy,other,antag
LLL_Boyet,other,other
LLL_Costard,fool,fool
LLL_Dull,other,other
LLL_Dumaine,other,other
LLL_Holofernes,other,antag
LLL_Jaquenetta,other,fool
LLL_Katherine,other,other
LLL_King,protag,protag
LLL_Longaville,other,protag
LLL_Maria,other,other
LLL_Nathaniel,other,protag
LLL_Princess,antag,other
LLL_Rosaline,other,fool
LLL_Winter,other,other
Lr_ATTENDANTS.CORDELIA.1,other,other
Lr_ATTENDANTS.LEAR.0.3,other,fool
Lr_ATTENDANTS.X.3,other,other
Lr_ATTENDANTS.X.4,other,other
Lr_Albany,other,antag
Lr_Cordelia,other,protag
Lr_Cornwall,other,antag
Lr_Doctor,other,fool
Lr_Edgar,other,other
Lr_Edmund,other,antag
Lr_Fool,fool,protag
Lr_France,other,antag
Lr_Gloucester,other,other
Lr_Goneril,antag,fool
Lr_Kent,other,antag
Lr_Lear,protag,protag
Lr_MESSENGERS.X.1,other,fool
Lr_Oswald,other,other
Lr_Regan,other,fool
MM_Abhorson,other,fool
MM_Angelo,antag,protag
MM_Barnardine,other,fool
MM_Bawd,other,other
MM_Claudio,other,antag
MM_Duke,protag,antag
MM_Elbow,other,antag
MM_Escalus,other,antag
MM_FriarPeter,other,other
MM_GENTLEMEN.1,other,protag
MM_Isabella,other,antag
MM_Lucio,other,other
MM_Mariana,other,fool
MM_Pompey,fool,antag
MM_Provost,other,other
MND_Bottom,fool,fool
MND_Demetrius,other,protag
MND_Egeus,other,protag
MND_FAIRIES.TITANIA.0.1,other,other
MND_FAIRIES.TITANIA.1,other,fool
MND_Flute,other,other
MND_Helena,other,protag
MND_Hermia,other,fool
MND_Hippolyta,other,protag
MND_Lysander,other,protag
MND_Oberon,other,protag
MND_Philostrate,other,other
MND_Quince,other,antag
MND_RobinGoodfellow,other,protag
