character,actual,predicted
Tit_Martius,m,m
Tit_Saturninus,m,m
Tit_Tamora,f,m
Tit_Titus,m,m
Tit_YoungLucius,m,f
Tmp_Alonso,m,f
Tmp_Antonio,m,f
Tmp_Ariel,m,m
Tmp_Boatswain,m,m
Tmp_Caliban,m,f
Tmp_Ferdinand,m,f
Tmp_Gonzalo,m,m
Tmp_Miranda,f,f
Tmp_Prospero,m,f
Tmp_SPIRITS.Iris,f,m
Tmp_Sebastian,m,f
Tmp_Stephano,m,f
Tmp_Trinculo,m,f
Tro_Achilles,m,f
Tro_Aeneas,m,m
Tro_Agamemnon,m,m
Tro_Ajax,m,f
Tro_Alexander,m,m
Tro_Cassandra,f,f
Tro_Cressida,f,f
Tro_Diomedes,m,f
Tro_Hector,m,m
Tro_Nestor,m,m
Tro_Pandarus,m,f
Tro_Paris,m,m
Tro_Patroclus,m,m
Tro_Thersites,m,m
Tro_Troilus,m,m
Tro_Ulysses,m,m
WT_ATTENDANTS.0.1,m,f
WT_ATTENDANTS.3,m,m
WT_Antigonus,m,f
WT_Autolycus,m,m
WT_Camillo,m,m
WT_Chorus,m,m
WT_Florizell,m,f
WT_Hermione,f,f
WT_Leontes,m,f
WT_Paulina,f,f
WT_Perdita,f,f
WT_Polixenes,m,m
WT_SERVANTS.SHEPHERD.1,m,m
WT_Shepherd,m,f
WT_ShepherdsSon,m,m
Wiv_DoctorCaius,m,f
Wiv_Falstaff,m,f
Wiv_Fenton,m,f
Wiv_Host,m,f
Wiv_HughEvans,m,m
Wiv_MasterFord,m,f
Wiv_MasterPage,m,m
Wiv_MistressFord,f,f
Wiv_MistressPage,f,m
Wiv_MistressQuickly,f,m
Wiv_Pistol,m,m
Wiv_Shallow,m,f
Wiv_Simple,m,m
Wiv_Slender,m,f
