name,AA,AE,AH,AO,AW,AY,EH,ER,EY,IH,IY,OW,OY,UH,UW
2H4_Wart,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0
2H4_Warwick,22,39,158,45,12,39,53,42,26,121,71,26,5,9,42
2H4_Westmoreland,56,62,237,79,20,47,93,68,49,148,74,34,4,16,85
2H6_Beadle,1,0,1,3,0,2,0,0,0,3,1,0,0,0,0
2H6_Bevis,14,14,44,8,4,6,18,12,17,25,15,13,0,1,6
2H6_Bolingbroke,11,14,59,6,5,16,12,18,12,24,19,7,2,2,13
2H6_Buckingham,26,40,181,58,22,34,51,42,26,98,81,24,1,5,44
2H6_CITIZENS,0,5,5,3,0,1,0,3,1,4,2,0,0,0,0
2H6_CITIZENS.LONDON.0.1,1,3,10,6,1,2,3,3,5,6,3,2,0,0,2
2H6_CITIZENS.STALBANS.0.1,0,6,9,2,1,4,1,1,1,9,1,0,0,0,0
2H6_Cade,117,212,542,148,95,168,214,141,113,333,240,78,7,27,112
2H6_CardinalBeaufort,41,50,241,66,25,70,87,56,37,140,97,29,4,15,44
2H6_Clerk,1,5,2,1,0,5,1,1,1,2,0,1,0,0,1
2H6_Clifford,26,36,108,27,14,38,42,21,31,65,43,11,2,6,46
2H6_Dick,24,27,79,30,6,19,30,32,29,46,40,14,0,4,17
2H6_DuchessOfGloucester,61,82,232,53,28,122,98,58,51,131,106,42,5,18,49
2H6_EdwardIV,1,0,1,0,1,0,0,4,1,2,0,1,0,0,0
2H6_FOLLOWERS.CADE,8,3,14,4,0,0,6,4,11,13,9,6,0,0,1
2H6_FOLLOWERS.CADE.0,8,4,15,4,0,0,6,4,11,14,10,6,0,0,1
2H6_GENTLEMEN.1,3,3,12,2,0,6,10,3,1,17,7,3,0,0,1
2H6_GENTLEMEN.2,0,0,2,1,0,2,0,0,1,2,0,2,0,0,0
2H6_George,6,0,7,0,1,1,0,4,5,7,3,6,0,0,1
2H6_Gloucester,141,220,633,164,71,241,227,167,123,385,258,94,7,32,129
2H6_HERALDS.X.1,1,2,9,1,0,1,2,1,1,2,2,1,0,0,1
2H6_HenryVI,144,172,657,190,102,211,233,186,143,407,259,103,11,37,147
2H6_Holland,10,13,38,12,3,6,29,12,19,38,26,11,0,3,7
2H6_Horner,7,23,44,16,2,22,19,14,8,30,22,3,0,2,7
2H6_Hume,9,24,86,15,5,19,17,17,21,27,20,16,1,0,17
2H6_Iden,21,43,92,20,10,67,42,20,23,56,38,12,2,8,25
2H6_Jourdain,2,7,4,1,4,2,1,3,1,2,1,0,0,0,1
2H6_Lieutenant,17,39,140,37,28,27,49,42,28,90,38,21,0,3,24
2H6_MESSENGERS.1,4,5,29,10,3,3,12,11,4,14,5,2,0,0,5
2H6_MESSENGERS.2,1,4,16,3,1,1,2,2,5,4,3,0,4,0,1
2H6_MESSENGERS.Post,2,2,15,5,1,3,6,1,3,5,2,2,0,1,3
2H6_MESSENGERS.X.1,0,3,4,2,0,2,4,2,1,3,3,0,0,0,6
2H6_MESSENGERS.X.2,0,3,12,2,2,3,1,0,3,7,4,1,0,0,1
2H6_MESSENGERS.X.3,3,1,19,3,3,2,1,7,3,8,9,1,0,0,7
2H6_MURDERERS.0.1,0,4,8,4,0,4,2,0,1,3,4,1,0,2,2
2H6_MURDERERS.0.2,0,3,3,0,0,0,2,2,0,3,2,2,0,0,2
2H6_Master,0,0,2,2,3,0,2,0,1,0,0,0,0,0,0
2H6_Mate,0,1,2,2,0,0,0,0,0,1,0,2,0,1,1
2H6_MayorOfStAlbans,0,0,2,2,0,1,2,1,2,3,2,1,0,0,0
2H6_Michael,7,2,10,4,1,4,7,8,6,12,7,7,0,0,1
2H6_NEIGHBORS.1,1,2,5,1,0,1,1,3,2,4,1,0,0,0,4
2H6_NEIGHBORS.2,0,0,4,0,0,0,0,1,1,1,1,0,0,0,0
2H6_NEIGHBORS.3,2,1,6,1,0,0,0,1,1,4,0,0,0,1,0
2H6_PETITIONERS,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0
2H6_PETITIONERS.0.1,3,5,20,9,2,13,6,6,4,10,10,1,0,3,1
2H6_PETITIONERS.0.2,1,4,17,4,2,2,5,4,0,6,3,1,0,2,2
2H6_PRENTICES.1,1,0,2,0,0,1,0,1,1,1,4,0,0,0,1
2H6_PRENTICES.2,1,1,4,1,0,2,2,2,0,1,3,0,0,0,0
2H6_QueenMargaret,152,177,678,183,71,223,229,138,116,425,300,104,8,48,147
2H6_RichardIII,10,16,39,15,5,19,22,14,10,41,21,8,0,3,8
2H6_SERVANTS.GLOUCESTER.0.1,0,0,3,2,0,1,2,1,2,0,2,1,0,0,0
2H6_SOLDIERS.1,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0
2H6_Salisbury,31,59,230,60,16,65,62,51,42,126,73,23,5,9,44
2H6_Sawyer,1,3,8,4,0,0,6,1,4,5,6,2,0,0,1
2H6_Saye,23,30,97,27,2,32,47,20,17,72,40,17,1,10,20
2H6_Scales,0,9,16,6,3,6,11,2,3,7,3,1,0,0,6
2H6_Sheriff,2,4,11,2,1,3,0,2,3,6,4,0,1,0,2
2H6_Simpcox,10,33,33,13,1,25,8,17,11,14,11,11,0,4,9
2H6_SimpcoxWife,2,4,8,6,0,6,4,5,2,12,7,2,1,1,4
2H6_Smith,15,10,34,10,3,5,13,9,14,39,23,9,1,2,4
2H6_Somerset,11,14,63,20,1,16,15,15,12,37,31,6,1,2,8
2H6_Spirit,2,14,17,3,3,6,8,2,3,7,6,1,0,1,1
2H6_Stafford,9,10,33,7,5,5,11,10,9,23,8,9,0,0,6
2H6_Stanley,1,7,16,7,1,5,2,3,5,6,8,3,0,0,11
2H6_Suffolk,130,212,609,160,67,227,201,165,111,379,252,94,8,39,143
2H6_Thump,14,29,32,17,4,33,14,17,12,19,23,10,0,0,7
2H6_Vaux,3,11,26,4,2,7,6,5,1,18,10,4,1,1,6
2H6_Warwick,72,92,297,71,32,90,88,80,56,173,117,30,1,18,63
2H6_Whitmore,9,9,32,15,10,23,15,10,8,24,12,4,0,1,8
2H6_WilliamStafford,2,5,13,6,0,2,4,2,3,8,4,1,0,0,4
2H6_York,161,296,811,237,67,280,296,200,163,501,295,105,10,41,195
2H6_YoungClifford,16,31,90,19,15,30,40,25,18,48,36,21,1,2,30
3H6_ALDERMEN,0,0,1,2,0,1,1,1,0,0,0,0,0,0,0
3H6_ATTENDANTS.EDWARD.1,0,1,5,5,0,1,1,1,3,2,1,1,0,0,1
3H6_Clarence,40,75,195,68,32,75,84,79,33,140,91,45,0,4,65
3H6_Clifford,66,88,258,71,33,128,108,81,49,171,99,48,5,21,62
3H6_EdwardIV,159,280,872,256,187,284,361,289,200,558,394,139,11,36,208
3H6_Exeter,10,6,30,12,5,11,14,5,14,14,20,4,0,3,7
3H6_Father,16,20,43,12,8,35,22,14,5,32,32,18,3,1,6
3H6_GAMEKEEPERS.1,7,7,38,8,4,6,9,9,7,32,20,7,1,0,10
3H6_GAMEKEEPERS.2,6,10,29,6,9,3,12,4,7,28,15,6,0,0,6
3H6_Hastings,10,14,38,8,8,10,22,16,12,29,14,9,0,2,11
3H6_HenryVI,176,203,697,199,106,313,330,231,127,451,311,121,15,49,164
3H6_Huntsman,0,2,2,2,0,2,2,1,3,2,2,1,0,0,1
3H6_JohnMortimer,1,1,1,0,0,0,0,1,0,1,5,0,0,0,0
3H6_KingLewis,21,45,108,41,23,46,47,56,22,107,67,16,2,2,26
3H6_LadyBona,2,6,15,8,2,10,9,5,2,16,7,4,0,0,3
3H6_Lieutenant,1,3,10,1,0,1,3,0,4,4,1,0,0,0,0
3H6_MESSENGERS.1,1,1,1,1,0,1,0,0,0,2,0,0,0,0,0
3H6_MESSENGERS.2,0,1,1,0,0,1,0,0,0,2,0,0,0,0,1
3H6_MESSENGERS.Post,18,17,54,23,2,14,28,25,9,42,28,8,0,2,15
3H6_MESSENGERS.X.1,1,1,6,8,1,3,4,2,0,7,5,1,0,0,2
3H6_MESSENGERS.X.2,13,11,54,9,3,8,18,9,10,21,18,8,2,4,9
3H6_MESSENGERS.X.3,0,0,10,3,1,1,1,1,1,3,5,1,0,0,2
3H6_MESSENGERS.X.4,2,7,15,6,2,1,3,2,3,8,4,1,1,0,3
3H6_MESSENGERS.X.5,0,2,1,3,0,1,5,1,0,1,3,0,0,0,3
3H6_MayorOfYork,0,1,12,8,2,4,5,3,5,1,6,5,0,1,4
3H6_Montague,8,14,37,7,4,13,11,9,4,12,7,5,2,2,9
3H6_Montgomery,4,6,27,9,3,16,17,11,5,16,9,2,1,0,16
3H6_Norfolk,2,3,7,4,0,5,0,1,0,2,2,2,0,0,2
3H6_Northumberland,11,17,48,18,14,21,16,14,8,47,26,15,0,4,18
3H6_Oxford,17,17,73,25,15,29,21,25,14,50,23,10,0,1,21
3H6_PrinceEdward,23,28,65,28,14,43,36,32,19,68,36,11,2,6,19
3H6_QueenElizabeth,24,58,137,57,10,89,62,34,33,83,52,17,2,10,51
3H6_QueenMargaret,135,190,556,167,100,207,224,171,112,358,207,88,14,40,134
3H6_RichardIII,155,255,797,229,115,315,303,256,182,516,318,119,13,54,202
3H6_Rivers,2,7,20,4,1,2,7,0,7,10,2,0,0,1,4
3H6_Rutland,11,10,40,10,6,21,22,13,10,35,28,7,0,3,7
3H6_SOLDIERS.MONTGOMERY,0,0,1,2,0,1,1,1,0,0,0,0,0,0,0
3H6_SOLDIERS.YORK,0,0,1,2,0,1,1,1,0,0,0,0,0,0,0
3H6_SOLDIERS.YORK.0.1,1,1,10,4,0,3,2,3,1,2,1,0,0,0,0
3H6_Somerset,16,24,63,31,11,22,24,18,6,52,38,9,0,1,11
3H6_Somerville,3,4,8,4,3,3,2,2,1,12,5,1,0,0,3
3H6_Son,20,18,32,8,3,30,20,10,9,29,15,8,0,0,9
3H6_Tutor,3,1,8,1,1,3,2,3,1,5,2,1,0,0,0
3H6_WATCHMEN.1,2,6,13,4,3,5,8,4,4,14,4,2,0,0,3
3H6_WATCHMEN.2,4,2,9,6,1,1,6,3,4,9,5,3,1,0,2
3H6_WATCHMEN.3,3,6,19,1,3,6,3,5,6,22,9,5,0,1,2
3H6_Warwick,173,270,913,268,149,291,384,274,167,585,352,128,13,33,224
3H6_Westmorland,9,10,23,3,1,8,7,8,6,13,7,3,0,1,3
3H6_York,85,103,381,81,64,156,119,108,69,185,137,50,4,22,86
AWW_ATTENDANTS.KING.0.1,0,2,10,4,1,3,0,2,1,5,5,2,0,1,2
AWW_ATTENDANTS.KING.0.2,1,3,2,1,1,0,4,6,2,4,4,0,1,1,4
AWW_Bertram,119,171,488,149,34,236,160,173,97,353,204,102,6,22,152
AWW_Countess,103,178,559,143,42,196,224,199,108,341,245,85,6,49,169
AWW_Diana,56,86,196,54,22,116,90,60,52,170,121,66,2,19,75
AWW_Duke,11,10,45,13,8,4,17,12,7,13,7,7,2,2,5
AWW_Epilogue,3,2,11,3,4,0,8,4,6,11,5,0,0,1,4
AWW_Fool,77,168,428,110,16,132,154,119,80,259,162,74,2,48,94
AWW_GENTLEMEN.1,3,7,22,0,0,3,3,1,5,12,7,5,0,3,4
AWW_GENTLEMEN.2,5,10,24,9,1,0,5,7,8,9,9,2,0,1,5
AWW_GENTLEMEN.3,4,9,27,11,0,14,9,10,5,30,13,5,0,3,11
AWW_Helen,174,307,911,217,81,380,346,272,169,671,350,179,7,52,246
AWW_King,156,222,683,160,124,249,277,253,172,489,287,110,8,53,195
AWW_LORDS.COURT.1,0,3,4,1,0,0,1,1,0,2,1,0,0,0,1
AWW_LORDS.COURT.2,0,2,3,1,0,0,2,2,0,2,2,1,0,0,2
AWW_LORDS.COURT.3,0,2,3,1,0,0,1,1,0,1,1,0,0,0,1
AWW_LORDS.COURT.4,1,2,4,1,0,1,2,1,0,2,1,1,0,0,1
AWW_LORDS.DUMAINE.1,72,98,322,57,37,62,87,103,51,202,135,58,4,25,70
AWW_LORDS.DUMAINE.2,44,91,197,53,23,46,78,64,40,192,106,26,1,7,53
AWW_Lafew,129,217,597,128,49,220,186,187,121,330,211,97,6,52,164
AWW_Mariana,11,17,56,10,1,11,21,18,10,29,17,16,0,1,6
AWW_Page,0,0,1,3,0,1,0,1,0,0,0,0,0,0,1
AWW_Parolles,143,247,821,166,75,279,288,230,154,567,317,135,9,60,214
AWW_SOLDIERS,5,0,0,1,0,0,0,0,0,0,0,5,0,0,0
AWW_SOLDIERS.0.1,5,1,1,1,0,2,0,1,0,2,0,6,0,0,0
AWW_SOLDIERS.Interpreter,26,60,147,34,17,28,61,48,42,89,57,28,1,9,65
AWW_Servant,1,3,9,3,0,0,3,3,1,6,4,0,0,0,4
AWW_Steward,17,35,80,19,10,34,36,39,19,58,38,17,0,8,24
AWW_Widow,17,45,109,30,14,35,27,35,33,68,50,22,1,7,36
AYL_Adam,27,41,116,43,7,51,41,58,20,73,57,39,1,6,48
AYL_Audrey,15,10,38,7,1,13,6,8,7,26,13,7,1,5,13
AYL_Celia,140,176,565,128,72,173,173,182,112,336,219,104,0,44,147
AYL_Charles,13,32,107,29,2,31,41,39,22,65,31,25,1,7,35
