name,overall,average
Emphasis-Vowels-Only-Min-500-Percentages,0.6946564885496184,0.6839622641509433
Emphasis-Vowels-Only-Min-500-Percentages-Twofold,0.6946564885496184,0.6839622641509433
Vowels-Only-Min-2500-Counts,0.7560975609756098,0.6827731092436975
Vowels-Only-Min-2500-Counts-Twofold,0.7560975609756098,0.6827731092436975
No-Others-Percentages,0.6931818181818182,0.6814345991561181
No-Others-Percentages-Twofold,0.6931818181818182,0.6814345991561181
Emphasis-Vowels-Only-No-Others-Counts,0.7727272727272727,0.6765119549929677
Emphasis-Vowels-Only-No-Others-Counts-Twofold,0.7727272727272727,0.6765119549929677
Min-2500-Percentages,0.7439024390243902,0.6754201680672269
Min-2500-Percentages-Twofold,0.7439024390243902,0.6754201680672269
Min-1000-Counts,0.6946564885496184,0.6720695970695971
Min-1000-Counts-Twofold,0.6946564885496184,0.6720695970695971
Emphasis-Vowels-Only-Min-2500-Percentages,0.7804878048780488,0.6691176470588236
Emphasis-Vowels-Only-Min-2500-Percentages-Twofold,0.7804878048780488,0.6691176470588236
Min-2500-Counts,0.7317073170731707,0.6680672268907563
Min-2500-Counts-Twofold,0.7317073170731707,0.6680672268907563
Emphasis-Min-100-Percentages,0.6880290205562273,0.6657947616407982
Emphasis-Min-100-Percentages-Twofold,0.6880290205562273,0.6657947616407982
Emphasis-Vowels-Only-Min-250-Percentages,0.6864864864864865,0.6591335493774518
Emphasis-Vowels-Only-Min-250-Percentages-Twofold,0.6864864864864865,0.6591335493774518
Emphasis-All-Counts,0.8649015614392397,0.6588161021984551
Emphasis-All-Counts-Twofold,0.8649015614392397,0.6588161021984551
Vowels-Only-Min-500-Percentages,0.6615776081424937,0.6584276729559748
Vowels-Only-Min-500-Percentages-Twofold,0.6615776081424937,0.6584276729559748
Min-1000-Percentages,0.6717557251908397,0.6577838827838828
Min-1000-Percentages-Twofold,0.6717557251908397,0.6577838827838828
Min-250-Counts,0.7261261261261261,0.6576304792768208
Min-250-Counts-Twofold,0.7261261261261261,0.6576304792768208
Emphasis-Vowels-Only-Min-1000-Percentages,0.6946564885496184,0.6576007326007326
Emphasis-Vowels-Only-Min-1000-Percentages-Twofold,0.6946564885496184,0.6576007326007326
Min-100-Counts,0.7823458282950423,0.6574510347376201
Min-100-Counts-Twofold,0.7823458282950423,0.6574510347376201
Emphasis-All-Percentages,0.5974202308214528,0.6540329768270945
Emphasis-All-Percentages-Twofold,0.5974202308214528,0.6540329768270945
Emphasis-Vowels-Only-Min-500-Counts,0.727735368956743,0.6534591194968553
Emphasis-Vowels-Only-Min-500-Counts-Twofold,0.727735368956743,0.6534591194968553
Min-250-Percentages,0.6882882882882883,0.6528441071123998
Min-250-Percentages-Twofold,0.6882882882882883,0.6528441071123998
Emphasis-No-Others-Percentages,0.7272727272727273,0.6511954992967651
