                               Overall Accuracy:                                

                      Grouping  Overall    Average    F1 Score     MCC    
                   0-1-245-3-6   30.39%     29.82%     26.29%     10.72%  
                   0-1-23-46-5   30.24%     29.61%     26.26%     10.12%  
                   01-2-3-45-6   31.61%     27.30%     26.10%     10.41%  
                   0-14-2-35-6   28.45%     30.07%     26.03%     10.42%  
                   0-14-2-3-56   31.61%     29.54%     26.00%     10.00%  
                   0-1-2-36-45   28.52%     30.02%     25.98%     10.51%  
                   01-2-3-46-5   34.34%     26.47%     25.90%     9.26%   
                   0-1-25-3-46   29.53%     29.29%     25.89%     9.60%   
                   0-1-2-346-5   33.26%     29.39%     25.88%     10.07%  
                   02-1-35-4-6   27.80%     27.37%     25.77%     9.52%   
                   0-14-23-5-6   29.81%     29.27%     25.76%     9.72%   
                   02-1-3-4-56   30.96%     26.84%     25.74%     9.09%   
                   0-12-35-4-6   30.89%     30.94%     25.66%     11.09%  
                   0-13-2-4-56   30.89%     30.07%     25.65%     9.76%   
                   0-12-3-4-56   34.05%     30.41%     25.63%     10.66%  
                   0-1-256-3-4   36.42%     30.28%     25.62%     10.65%  
                   05-1-23-4-6   27.44%     27.90%     25.58%     9.95%   
                   0-1-26-35-4   30.10%     30.91%     25.54%     10.75%  
                   03-1-2-4-56   29.09%     27.67%     25.53%     9.84%   
                   0-14-25-3-6   29.09%     28.95%     25.39%     9.20%   
                   0-1-236-4-5   36.35%     30.00%     25.35%     10.20%  
                   0-14-2-36-5   30.82%     28.85%     25.27%     8.96%   
                   05-1-24-3-6   27.16%     26.78%     25.26%     9.25%   
                   0-15-23-4-6   28.52%     29.70%     25.25%     9.22%   
                   05-1-2-34-6   25.57%     27.41%     25.11%     9.72%   
                   0-13-24-5-6   28.81%     28.67%     25.09%     8.77%   
                   05-1-2-36-4   28.45%     27.49%     25.09%     9.19%   
                   04-1-2-35-6   25.50%     27.58%     25.06%     9.81%   
                   0-13-25-4-6   28.38%     29.48%     25.04%     8.96%   
                   04-1-2-3-56   28.66%     27.05%     25.03%     9.39%   
                   02-1-34-5-6   27.30%     26.07%     25.02%     8.57%   
                   02-1-36-4-5   30.17%     26.15%     25.00%     8.05%   
                   03-1-24-5-6   27.01%     26.27%     24.97%     8.85%   
                   035-1-2-4-6   27.51%     27.24%     24.95%     9.56%   
                   0-15-24-3-6   28.23%     28.57%     24.94%     8.52%   
                   03-1-25-4-6   26.58%     27.08%     24.92%     9.04%   
                   0-12-34-5-6   30.39%     29.64%     24.91%     10.14%  
                   01-26-3-4-5   35.56%     26.97%     24.90%     9.18%   
                   0-12-36-4-5   33.26%     29.72%     24.90%     9.62%   
                   0-1-246-3-5   35.56%     28.64%     24.89%     9.08%   
                   023-1-4-5-6   30.60%     26.12%     24.85%     8.35%   
                   0-1-26-34-5   29.60%     29.62%     24.80%     9.81%   
                   02-1-3-45-6   26.94%     25.72%     24.79%     8.26%   
                   0-15-2-34-6   26.65%     29.21%     24.78%     8.99%   
                   04-1-23-5-6   26.87%     26.78%     24.78%     9.10%   
                   06-1-2-35-4   28.16%     26.39%     24.78%     7.77%   
                   0-15-2-36-4   29.53%     29.28%     24.76%     8.46%   
                   025-1-3-4-6   30.03%     26.03%     24.76%     8.15%   
                   015-2-3-4-6   34.20%     26.28%     24.71%     8.55%   
                   0-13-2-45-6   26.87%     28.95%     24.71%     8.92%   
                   014-2-3-5-6   34.91%     25.59%     24.69%     8.63%   
                   0-12-3-45-6   30.03%     29.29%     24.69%     9.83%   
                   05-1-2-3-46   27.95%     26.22%     24.67%     8.25%   
                   013-2-4-5-6   34.63%     26.21%     24.66%     8.56%   
                   0-124-3-5-6   35.92%     28.46%     24.64%     9.02%   
                   012-3-4-5-6   39.66%     26.04%     24.63%     9.02%   
                   03-1-2-45-6   25.07%     26.55%     24.59%     9.00%   
                   02-1-3-46-5   29.67%     24.88%     24.59%     7.10%   
                   0-123-4-5-6   35.49%     29.34%     24.58%     9.09%   
                   0-1-26-3-45   29.24%     29.26%     24.57%     9.49%   
                   0-134-2-5-6   31.18%     28.19%     24.52%     8.27%   
                   06-1-23-4-5   29.53%     25.58%     24.50%     7.06%   
                   0-13-2-46-5   29.60%     28.12%     24.50%     7.77%   
                   0-135-2-4-6   30.39%     29.01%     24.49%     8.26%   
                   056-1-2-3-4   32.90%     25.77%     24.48%     7.53%   
                   0-12-3-46-5   32.76%     28.45%     24.48%     8.67%   
                   04-1-25-3-6   26.15%     26.46%     24.41%     8.59%   
                   03-1-2-46-5   27.80%     25.72%     24.38%     7.85%   
                   0-15-2-3-46   29.02%     28.01%     24.35%     7.52%   
                   024-1-3-5-6   29.89%     24.88%     24.34%     7.54%   
                   04-1-2-36-5   27.87%     26.36%     24.29%     8.35%   
                   0-145-2-3-6   30.24%     27.98%     24.29%     7.83%   
                   0-125-3-4-6   34.20%     29.12%     24.27%     8.42%   
                   06-1-24-3-5   29.24%     24.46%     24.19%     6.36%   
                   05-14-2-3-6   27.51%     25.88%     24.17%     7.85%   
                   06-1-25-3-4   28.81%     25.26%     24.13%     6.54%   
                   02-14-3-5-6   29.24%     24.55%     24.08%     6.70%   
                   06-1-2-34-5   27.66%     25.09%     24.03%     6.82%   
                   045-1-2-3-6   26.22%     25.60%     23.99%     8.31%   
                   034-1-2-5-6   26.44%     25.53%     23.94%     8.27%   
                   03-14-2-5-6   27.37%     25.38%     23.88%     7.45%   
                   0-14-26-3-5   31.54%     28.09%     23.86%     7.94%   
                   05-13-2-4-6   26.80%     26.42%     23.82%     7.61%   
                   036-1-2-4-5   31.97%     25.04%     23.82%     6.42%   
                   06-1-2-3-45   27.30%     24.73%     23.81%     6.51%   
                   05-12-3-4-6   29.96%     26.75%     23.80%     8.51%   
                   02-13-4-5-6   28.52%     25.08%     23.73%     6.46%   
                   05-1-26-3-4   29.17%     26.73%     23.68%     8.17%   
                   02-15-3-4-6   27.95%     24.98%     23.58%     6.21%   
                   0-13-26-4-5   30.82%     28.62%     23.51%     7.70%   
