orig,eos
R2_LADIES.0.1,R2_1 Lady
R2_LordMarshal,R2_Marshal
R2_RichardII,R2_King Richard
R2_SERVANTS.EXTON.0.1,R2_Servant
R2_SERVANTS.GARDENER.1,R2_1 Man
R2_SERVANTS.YORK.1,R2_Servingman
R2_WelshCaptain,R2_Welsh Captain
R3_ATTENDANTS.0.1,R3_Richard
R3_ATTENDANTS.RICHMOND,R3_Lords
R3_ATTENDANTS.RICHMOND.0.1,R3_Lords
R3_CITIZENS.2,R3_2 Citizen
R3_DuchessOfYork,R3_Duchess
R3_EdwardV,R3_Prince Edward
R3_GENTLEMEN.0.1,R3_Gentleman
R3_HenryVI,R3_Ghost of Henry VI
R3_LadyAnne,R3_Anne
R3_MESSENGERS.1,R3_1 Messenger
R3_MESSENGERS.4,R3_4 Messenger
R3_MESSENGERS.X.3,R3_Messenger
R3_MURDERERS.1,R3_1 Executioner
R3_MayorOfLondon,R3_Mayor
R3_RichardIII,R3_Richard
R3_SirChristopher,R3_Christopher
Rom_Cousin,Rom_Capulet's Cousin
Rom_FriarJohn,Rom_Friar John
Rom_FriarLawrence,Rom_Friar Laurence
Rom_LadyCapulet,Rom_Capulet's Wife
Rom_LadyMontague,Rom_Montague's Wife
Rom_PrinceEscalus,Rom_Prince
Rom_SERVANTS.CAPULET.Gregory,Rom_Gregory
Rom_SERVANTS.CAPULET.Sampson,Rom_Sampson
Rom_SERVANTS.MONTAGUE.Abram,Rom_Abraham
Rom_SERVANTS.PARIS.1,Rom_Page
Rom_WATCHMEN.0.1,Rom_Chief Watchman
Rom_WATCHMEN.0.2,Rom_2 Watch
Shr_SERVANTS.LORD.0.1,Shr_Servant
Shr_SERVANTS.PETRUCHIO.0.4,Shr_Hostess
Shr_SERVANTS.PETRUCHIO.Joseph,Shr_Joseph
Shr_SERVANTS.PETRUCHIO.Nathaniel,Shr_Nathaniel
Shr_SERVANTS.PETRUCHIO.Nicholas,Shr_Nicholas
Shr_SERVANTS.PETRUCHIO.Phillip,Shr_Phillip
TGV_OUTLAWS.1,TGV_1 Outlaw
TGV_OUTLAWS.2,TGV_2 Outlaw
TGV_Sylvia,TGV_Silvia
TNK_ATTENDANTS.1,TNK_Gentleman
TNK_FRIENDS.1,TNK_1 Friend
TNK_KNIGHTS.PALAMON,TNK_All Knights
TNK_KNIGHTS.PALAMON.0.1,TNK_1 Knight
TNK_KNIGHTS.PALAMON.0.2,TNK_2 Knight
TNK_KNIGHTS.PALAMON.0.3,TNK_3 Knight
TNK_MESSENGERS.X.1,TNK_Messenger
TNK_MESSENGERS.X.3,TNK_Messenger
TNK_OTHERS,TNK_All
TNK_QUEENS.2,TNK_2 Queen
TN_ATTENDANTS.OLIVIA.1,TN_Servant
TN_ATTENDANTS.ORSINO.Curio,TN_Curio
TN_ATTENDANTS.ORSINO.Valentine,TN_Valentine
TN_AndrewAguecheek,TN_Sir Andrew
TN_OFFICERS.1,TN_First Officer
TN_TobyBelch,TN_Sir Toby
Tim_FRIENDS.0.1,Tim_1 Lord
Tim_FRIENDS.0.3,Tim_3 Lord
Tim_LADIES,Tim_All Ladies
Tim_LORDS,Tim_All Lords
Tim_LORDS.0.2,Tim_2 Lord
Tim_MESSENGERS.X.2,Tim_2 Messenger
Tim_SENATORS.0.2,Tim_2 Senator
Tim_SENATORS.2,Tim_2 Senator
Tim_SENATORS.4,Tim_4 Senator
Tim_SERVANTS.ISIDORE.1,Tim_Isidore's Servant
Tim_SERVANTS.Philotus,Tim_Philotus
Tim_SERVANTS.TIMON.2,Tim_2 Servant
Tim_SERVANTS.TIMON.X.2,Tim_Servants
Tim_SOLDIERS.1,Tim_Soldier
Tmp_SAILORS,Tmp_Mariners
Tmp_SPIRITS.Ceres,Tmp_Ceres
Tmp_SPIRITS.Iris,Tmp_Iris
Tmp_SPIRITS.Juno,Tmp_Juno
Tro_Boy,Tro_Troilus's Boy
Tro_SERVANTS.DIOMEDES.1,Tro_Servant
Tro_SERVANTS.PARIS.1,Tro_Servant
WT_ATTENDANTS,WT_Lords
WT_ATTENDANTS.0.1,WT_Lord
WT_ATTENDANTS.2,WT_2 Gentleman
WT_ATTENDANTS.3,WT_3 Gentleman
WT_ATTENDANTS.X,WT_Lord
WT_Cleomenes,WT_Cleomines
WT_Florizell,WT_Florizel
WT_LADIES.0.2,WT_2 Lady
WT_LADIES.Emilia,WT_Emilia
WT_OFFICERS.0.1,WT_Officer
WT_SERVANTS.0,WT_Servant
WT_SERVANTS.SHEPHERD.1,WT_Servant
WT_SERVANTS.X.2,WT_Servant
WT_Sailor,WT_Mariner
Wiv_AnnePage,Wiv_Anne
Wiv_DoctorCaius,Wiv_Caius
Wiv_HughEvans,Wiv_Evans
Wiv_MasterFord,Wiv_Ford
Wiv_MistressQuickly,Wiv_Quickly
